scenario,tasks,successful_tasks,provider_calls,input_tokens,cached_input_tokens,output_tokens,total_counted_tokens,delta_vs_baseline_tokens,delta_vs_baseline_percent,estimated_cost
10_baseline_full_context_gpt54,8,8,8,132210,30464,130387,262597,0,0.0%,null
20_sfe_single_model_gpt54_multipass,8,8,48,880149,5376,381053,1261202,998605,380.3%,null
